0.7840
class4,p
II,0.919
nonevent,0.019
II,0.897
nonevent,0.485
nonevent,0.208
II,0.598
nonevent,0.340
nonevent,0.018
nonevent,0.224
nonevent,0.167
nonevent,0.222
nonevent,0.203
II,0.643
Ib,0.969
Ib,0.990
nonevent,0.000
nonevent,0.320
nonevent,0.105
II,0.713
nonevent,0.029
nonevent,0.007
II,0.866
nonevent,0.075
II,0.698
II,0.934
nonevent,0.384
nonevent,0.083
nonevent,0.372
nonevent,0.439
nonevent,0.325
nonevent,0.363
II,0.975
nonevent,0.129
nonevent,0.376
II,0.784
nonevent,0.220
nonevent,0.372
nonevent,0.266
II,0.716
nonevent,0.392
nonevent,0.161
II,0.912
II,0.659
nonevent,0.560
Ib,0.974
nonevent,0.124
II,0.904
Ib,0.651
Ib,0.860
II,0.830
II,0.965
nonevent,0.635
Ib,0.915
II,0.992
nonevent,0.241
nonevent,0.326
nonevent,0.001
nonevent,0.493
II,0.752
nonevent,0.100
nonevent,0.440
Ib,0.809
Ib,0.758
nonevent,0.158
nonevent,0.142
nonevent,0.309
nonevent,0.258
nonevent,0.429
II,0.818
II,0.678
nonevent,0.006
II,0.950
nonevent,0.515
nonevent,0.050
nonevent,0.520
nonevent,0.471
Ib,0.687
Ib,0.873
nonevent,0.004
nonevent,0.522
II,0.780
Ib,0.931
nonevent,0.290
nonevent,0.264
nonevent,0.041
nonevent,0.553
nonevent,0.098
nonevent,0.077
nonevent,0.318
nonevent,0.245
II,0.901
nonevent,0.001
nonevent,0.040
nonevent,0.201
nonevent,0.019
nonevent,0.188
nonevent,0.000
Ib,0.986
II,0.758
nonevent,0.294
II,0.719
II,0.679
II,0.993
nonevent,0.587
nonevent,0.329
nonevent,0.460
II,0.898
nonevent,0.019
Ib,0.836
Ib,0.856
nonevent,0.022
nonevent,0.001
Ia,0.915
nonevent,0.221
II,0.873
II,0.543
nonevent,0.292
II,0.932
II,0.777
Ib,0.790
nonevent,0.083
II,0.700
nonevent,0.019
nonevent,0.574
nonevent,0.316
Ib,0.829
II,0.673
nonevent,0.469
nonevent,0.013
Ib,0.948
nonevent,0.228
nonevent,0.289
nonevent,0.167
nonevent,0.065
nonevent,0.390
II,0.978
nonevent,0.003
nonevent,0.378
nonevent,0.253
nonevent,0.049
nonevent,0.575
II,0.798
nonevent,0.108
Ib,0.964
nonevent,0.592
nonevent,0.050
nonevent,0.380
nonevent,0.000
II,0.763
II,0.932
II,0.894
nonevent,0.227
nonevent,0.027
II,0.944
Ib,0.787
II,0.968
nonevent,0.318
Ib,0.981
II,0.998
nonevent,0.087
nonevent,0.010
nonevent,0.023
nonevent,0.600
nonevent,0.157
nonevent,0.009
II,0.985
II,0.718
nonevent,0.134
nonevent,0.004
nonevent,0.619
nonevent,0.152
nonevent,0.321
nonevent,0.516
II,0.803
Ib,0.884
nonevent,0.000
nonevent,0.552
II,0.848
II,0.897
Ib,0.983
II,0.952
nonevent,0.546
II,0.686
nonevent,0.388
nonevent,0.140
nonevent,0.524
nonevent,0.177
nonevent,0.063
nonevent,0.453
nonevent,0.069
Ib,0.748
nonevent,0.244
nonevent,0.404
II,0.880
nonevent,0.017
II,0.963
nonevent,0.360
II,0.914
nonevent,0.439
nonevent,0.416
II,0.859
II,0.635
nonevent,0.028
Ib,0.976
Ib,0.668
II,0.836
II,0.936
II,0.555
nonevent,0.220
nonevent,0.301
Ib,0.906
nonevent,0.149
II,0.862
nonevent,0.124
Ib,0.955
nonevent,0.021
Ib,0.881
nonevent,0.127
II,0.639
nonevent,0.204
II,0.814
nonevent,0.555
nonevent,0.109
II,0.943
nonevent,0.009
nonevent,0.328
Ib,0.949
II,0.657
nonevent,0.305
nonevent,0.303
nonevent,0.616
nonevent,0.264
II,0.687
Ib,0.951
nonevent,0.472
II,0.868
Ib,0.759
II,0.950
II,0.972
II,0.983
nonevent,0.074
Ib,0.812
nonevent,0.347
nonevent,0.015
II,0.921
II,0.528
nonevent,0.003
nonevent,0.056
nonevent,0.028
nonevent,0.239
Ib,0.745
II,0.753
nonevent,0.082
Ib,0.947
nonevent,0.211
nonevent,0.393
nonevent,0.410
nonevent,0.166
nonevent,0.000
Ib,0.687
nonevent,0.514
Ib,0.750
II,0.818
nonevent,0.090
II,0.895
nonevent,0.348
nonevent,0.002
Ib,0.793
Ib,0.798
nonevent,0.002
nonevent,0.001
nonevent,0.003
Ib,0.893
nonevent,0.331
nonevent,0.095
Ib,0.889
II,0.592
nonevent,0.111
II,0.750
Ib,0.902
nonevent,0.250
II,0.641
nonevent,0.135
nonevent,0.017
Ib,0.939
II,0.681
Ib,0.939
II,0.987
nonevent,0.248
Ib,0.924
II,0.835
Ib,0.754
Ib,0.734
nonevent,0.223
Ib,0.909
nonevent,0.269
II,0.811
II,0.917
nonevent,0.000
nonevent,0.000
Ib,0.683
nonevent,0.070
nonevent,0.532
II,0.748
nonevent,0.054
II,0.964
II,0.595
II,0.674
nonevent,0.000
nonevent,0.136
II,0.530
II,0.976
nonevent,0.212
nonevent,0.424
nonevent,0.214
nonevent,0.002
Ib,0.959
II,0.604
nonevent,0.330
Ib,0.894
nonevent,0.317
nonevent,0.210
nonevent,0.000
Ib,0.838
Ib,0.877
II,0.855
Ia,0.790
II,0.937
II,0.667
II,0.676
nonevent,0.001
II,0.969
nonevent,0.014
II,0.594
II,0.874
Ib,0.904
nonevent,0.611
nonevent,0.113
II,0.841
nonevent,0.012
nonevent,0.474
nonevent,0.099
nonevent,0.306
nonevent,0.072
Ib,0.902
nonevent,0.145
nonevent,0.003
II,0.897
nonevent,0.608
nonevent,0.009
nonevent,0.337
II,0.920
nonevent,0.197
nonevent,0.225
II,0.974
II,0.831
Ib,0.959
II,0.981
nonevent,0.004
nonevent,0.479
nonevent,0.187
nonevent,0.072
II,0.892
II,0.687
nonevent,0.005
nonevent,0.501
Ib,0.965
II,0.904
II,0.822
nonevent,0.073
nonevent,0.287
nonevent,0.029
Ib,0.978
II,0.895
nonevent,0.223
Ib,0.981
nonevent,0.495
nonevent,0.022
nonevent,0.594
nonevent,0.000
II,0.937
II,0.973
II,0.760
Ib,0.964
nonevent,0.114
nonevent,0.051
nonevent,0.118
II,0.909
nonevent,0.246
Ib,0.815
II,0.904
II,0.728
nonevent,0.442
nonevent,0.028
nonevent,0.484
nonevent,0.314
nonevent,0.055
nonevent,0.484
Ib,0.901
nonevent,0.517
II,0.738
II,0.929
II,0.979
II,0.941
nonevent,0.000
II,0.663
nonevent,0.219
II,0.997
nonevent,0.108
II,0.905
II,0.874
nonevent,0.574
nonevent,0.266
II,0.890
nonevent,0.411
II,0.964
nonevent,0.173
II,0.987
nonevent,0.198
nonevent,0.038
II,0.942
II,0.952
